,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,bourneultim8,,,176,4,530,4,"Now that the #ZomatoIPO applications are done, I still cannot fathom why so many people are so interested in it.

I can bet you WILL get it at lower than the IPO price within a year.

If you are doing it for listing gains, you shouldn't be investing in stocks.",['ZomatoIPO']
1,tag_vignesh,"Playing with stocks, currencies and cryptos",India,3,3,10,0,#ZomatoIPO  Employees know the company well. That's why employee quota is not filled. https://t.co/Qx1JlMzpAg,['ZomatoIPO']
2,Sid9786,"Football , Rock n Roll & Food",,602,56,684,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
3,aman_dhingra,"Tech Banker @ ICICI Securities || What interests me? Technology, Start-ups, Economics, Politics, and Movies (in order of increasing importance :P )",Mumbai,420,225,354,36,"We Indians ❤️ our food ! @ICICI_Direct  retail investors have just invested nearly Rs 1,400 crores comprising ~ 15% retail all money collected to add a bit more flavour to their portfolio 🥘 with #ZomatoIPO !

All the best for the journey ahead @deepigoyal and @sbikh",[]
4,mahalpure,Experiencing the experience 💫,India,43,325,2596,0,"Employees undersubscribed at IPO. 
0.6x only.

This scares me. #ZomatoIPO",['ZomatoIPO']
5,Fintrovert_com,"📈Market Sentiments, Financial Infographics, News, Sensex, Nifty


📝For educational purpose only

📱Insta: @fintrovert_com

📨Telegram: https://t.co/LcqValIy2g",,312,107,211,43,"1 Rupaye ki Keemat tum kya Jaano Market Babu!

The avg cost of Acquisition of Zomato shares by Info Edge :) 

#ZomatoIPO https://t.co/C17hIGQczC",[]
6,avrk9,Investor,Mumbai,705,58,1447,36,"We Indians ❤️ our food ! @ICICI_Direct  retail investors have just invested nearly Rs 1,400 crores comprising ~ 15% retail all money collected to add a bit more flavour to their portfolio 🥘 with #ZomatoIPO !

All the best for the journey ahead @deepigoyal and @sbikh",[]
7,CADipeshParmar,Be Kind,MUMBAI,100,15,1965,8,Only employees of #Zomato knew the value or they've already got enough of #ESOPs? #ZomatoIPO https://t.co/es8nyAPuo0,"['Zomato', 'ESOPs', 'ZomatoIPO']"
8,arthasakshar,"We publish Personal Finance articles in Marathi. RTs are not endorsements. 
YouTube: https://t.co/h0OVzGGto2","Pune, India",234,2816,5128,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
9,Vijaysagar_Agri,"ab_post
IPO's / SM / Banker / Agribusiness Professional","Gujarat, India",272,15,64,0,"Zomato's IPO Order will not be delivered to all, due to oversubscription. 

#ZomatoIPO 
#IPOAlert 
#IPOTracker 
#abpost","['ZomatoIPO', 'IPOAlert', 'IPOTracker', 'abpost']"
10,vishalsukheja,"Marketer, Product guy @FirstHive Tweets about Startups, Product, Marketing, Sports","Bengaluru, India",1069,434,12345,4,"Now that the #ZomatoIPO applications are done, I still cannot fathom why so many people are so interested in it.

I can bet you WILL get it at lower than the IPO price within a year.

If you are doing it for listing gains, you shouldn't be investing in stocks.",['ZomatoIPO']
11,krishankdubey,Real estate. Investing. Alumnus- IIM Indore & DA-IICT,"Chhattisgarh, India",3545,176,151,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
12,SaritaR04419871,,,0,0,2,23,"Travel and Food are BFF's 
So Let's take off your #flight on #ZomatoIPO  ..!! 

Enjoy your #Stay there for a while"" 

@zomato 
#Zomato #HappyEasyGo #Travel #Food #startups","['flight', 'ZomatoIPO', 'Stay']"
13,souravadmirer,You can change only when you feel psychologically safe!,,740,24,941,913,"1)#ZomatoIPO : LONG THREAD: Once in a decade opportunity…. for some?

Is the IPO the golden opportunity for investors, as claimed by many? How much appreciation can one expect? A multi-year holding story or just a listing pop. This time it’s different, or is it? Let’s evaluate:",['ZomatoIPO']
